date,description,amount
2025-04-01,Gas Station,-18.64
2025-04-02,Movie Tickets,-42.03
2025-04-02,Gym Membership,-53.42
2025-04-03,Gym Membership,-50.62
2025-04-03,Car Wash,-70.81
2025-04-03,Gas Station,-81.09
2025-04-04,Gas Station,-79.16
2025-04-04,Grocery Store,-90.48
2025-04-05,Electric Bill,-94.75
2025-04-05,Rent Payment,-1200.0
2025-04-07,Gas Station,-77.65
2025-04-09,Freelance Gig,287.15
2025-04-11,Car Wash,-72.13
2025-04-12,Online Subscription,-65.94
2025-04-12,Dining Out,-49.78
2025-04-13,Dining Out,-99.6
2025-04-14,Internet Bill,-88.77
2025-04-14,Car Wash,-40.34
2025-04-15,Movie Tickets,-55.66
2025-04-17,Car Wash,-77.4
2025-04-18,Coffee Shop,-44.01
2025-04-19,Coffee Shop,-51.34
2025-04-20,Coffee Shop,-37.98
2025-04-20,Pharmacy,-72.17
2025-04-20,Pharmacy,-83.91
2025-04-21,Online Subscription,-29.66
2025-04-23,Gym Membership,-95.46
2025-04-25,Pet Supplies,-14.89
2025-04-27,Coffee Shop,-23.93
2025-04-28,Freelance Gig,646.75
