date,description,amount
2025-01-01,Coffee Shop,-12.42
2025-01-02,Electric Bill,-51.03
2025-01-03,Electric Bill,-63.88
2025-01-03,Gas Station,-38.07
2025-01-05,Electric Bill,-27.65
2025-01-06,Pharmacy,-52.5
2025-01-06,Dining Out,-26.52
2025-01-06,Gym Membership,-75.25
2025-01-07,Monthly Salary,3028.6
2025-01-08,Gym Membership,-50.94
2025-01-09,Grocery Store,-51.23
2025-01-10,Coffee Shop,-34.55
2025-01-10,Rent Payment,-1200.0
2025-01-11,Gym Membership,-50.76
2025-01-13,Coffee Shop,-24.66
2025-01-15,Freelance Gig,205.87
2025-01-16,Gym Membership,-5.52
2025-01-16,Online Subscription,-50.79
2025-01-16,Dining Out,-62.21
2025-01-18,Online Subscription,-65.39
2025-01-19,Pet Supplies,-32.42
2025-01-20,Online Subscription,-71.93
2025-01-21,Coffee Shop,-37.07
2025-01-21,Dining Out,-9.47
2025-01-21,Electric Bill,-54.68
2025-01-23,Freelance Gig,511.49
2025-01-24,Dining Out,-46.01
2025-01-26,Rent Payment,-1200.0
2025-01-28,Freelance Gig,622.86
2025-01-28,Dining Out,-22.23
