date,description,amount
2025-05-01,Online Subscription,-33.19
2025-05-01,Online Subscription,-26.3
2025-05-03,Pet Supplies,-52.67
2025-05-03,Pet Supplies,-31.74
2025-05-03,Rent Payment,-1200.0
2025-05-05,Internet Bill,-40.17
2025-05-07,Pet Supplies,-11.21
2025-05-08,Grocery Store,-81.95
2025-05-09,Pharmacy,-73.29
2025-05-09,Grocery Store,-96.11
2025-05-11,Dining Out,-48.09
2025-05-13,Coffee Shop,-48.67
2025-05-13,Freelance Gig,739.5
2025-05-14,Freelance Gig,269.83
2025-05-14,Coffee Shop,-93.46
2025-05-15,Coffee Shop,-44.05
2025-05-15,Pharmacy,-41.94
2025-05-16,Grocery Store,-42.29
2025-05-18,Rent Payment,-1200.0
2025-05-19,Rent Payment,-1200.0
2025-05-20,Internet Bill,-45.49
2025-05-21,Online Subscription,-60.41
2025-05-21,Movie Tickets,-54.19
2025-05-21,Movie Tickets,-7.21
2025-05-23,Rent Payment,-1200.0
2025-05-23,Coffee Shop,-85.72
2025-05-24,Movie Tickets,-20.28
2025-05-25,Gym Membership,-49.19
2025-05-27,Gym Membership,-24.05
2025-05-27,Pharmacy,-5.4
